Title,Release Year,RT_score,URL,Director,Cast
Equals,2015,36%,https://www.rottentomatoes.com/m/equals_2016,Drake Doremus,"Kristen Stewart,Nicholas Hoult,Guy Pearce,Bel Powley"
Outlaws,2017,33%,https://www.rottentomatoes.com/m/outlaws_2019,Stephen McCallum,"Ryan Corr,Abbey Lee,Simone Kessell,Josh McConville"
Mojave,2015,32%,https://www.rottentomatoes.com/m/mojave_2016,William Monahan,"Oscar Isaac,Garrett Hedlund,Louise Bourgoin,Walton Goggins"
Woodshock,2017,29%,https://www.rottentomatoes.com/m/woodshock_2017,Kate Mulleavy,"Kirsten Dunst,Pilou Asbæk,Joe Cole,Jack Kilmer"
The Captive,2014,28%,https://www.rottentomatoes.com/m/the_captive_2014,Atom Egoyan,"Ryan Reynolds,Rosario Dawson,Mireille Enos,Scott Speedman"
Barely Lethal,2015,26%,https://www.rottentomatoes.com/m/barely_lethal,Kyle Newman,"Hailee Steinfeld,Jessica Alba,Samuel L. Jackson,Sophie Turner"
The Adderall Diaries,2015,25%,https://www.rottentomatoes.com/m/the_adderall_diaries,Pamela Romanowsky,"James Franco,Ed Harris,Amber Heard,Cynthia Nixon"
Dark Places,2015,23%,https://www.rottentomatoes.com/m/dark_places_2015,Gilles Paquet-Brenner,"Charlize Theron,Nicholas Hoult,Chloë Grace Moretz,Tye Sheridan"
The Sea of Trees,2015,17%,https://www.rottentomatoes.com/m/the_sea_of_trees,Gus Van Sant,"Matthew McConaughey,Ken Watanabe,Naomi Watts,Katie Aselton"
A Glimpse Inside the Mind of Charles Swan III,2012,16%,https://www.rottentomatoes.com/m/a_glimpse_inside_the_mind_of_charles_swan_iii,Roman Coppola,"Charlie Sheen,Jason Schwartzman,Bill Murray,Patricia Arquette"
Revenge of the Green Dragons,2014,15%,https://www.rottentomatoes.com/m/revenge_of_the_green_dragons,Andrew Lau Wai-Keung,"Justin Chon,Kevin Wu,Harry Shum Jr.,Shuya Chang"
The Vanishing of Sidney Hall,2017,11%,https://www.rottentomatoes.com/m/the_vanishing_of_sidney_hall,Shawn Christensen,"Kyle Chandler,Logan Lerman,Elle Fanning,Blake Jenner"
